央视频道,#genre#
东方卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001336/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
东方卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001028/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
浙江卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001345/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
浙江卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001026/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
山东卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001341/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
山东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001028/index.m3u8
广东卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001337/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
广东卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001031/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
东南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225950/index.m3u8
东南卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226182/1.m3u8
安徽卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001298/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
安徽卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001283/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
黑龙江卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001338/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
黑龙江卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001030/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
湖北卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001347/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
湖北卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001299/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
辽宁卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001340/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
辽宁卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001296/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001679/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226457/index.m3u8
深圳卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001342/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
深圳卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001029/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
天津卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001343/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
天津卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226459/index.m3u8
重庆卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001297/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
重庆卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001129/index.m3u8

广西联通,#genre#
CCTV1,http://110.72.64.135:808/hls/54/index.m3u8
CCTV1,http://110.72.64.135:808/hls/54/index.m3u8
CCTV2,http://110.72.64.135:808/hls/97/index.m3u8
CCTV3,http://110.72.64.135:808/hls/37/index.m3u8
CCTV4,http://110.72.64.135:808/hls/113/index.m3u8
CCTV5,http://110.72.64.135:808/hls/38/index.m3u8
CCTV5,http://110.72.64.135:808/hls/38/index.m3u8
CCTV5+高清,http://110.72.64.135:808/hls/14/index.m3u8
CCTV6,http://110.72.64.135:808/hls/39/index.m3u8
CCTV6,http://110.72.64.135:808/hls/39/index.m3u8
CCTV7,http://110.72.64.135:808/hls/5/index.m3u8
CCTV7,http://110.72.64.135:808/hls/98/index.m3u8
CCTV7,http://110.72.64.135:808/hls/98/index.m3u8
CCTV8,http://110.72.64.135:808/hls/40/index.m3u8
CCTV8,http://110.72.64.135:808/hls/40/index.m3u8
CCTV9,http://110.72.64.135:808/hls/119/index.m3u8
CCTV9,http://110.72.64.135:808/hls/119/index.m3u8
CCTV10,http://110.72.64.135:808/hls/99/index.m3u8
CCTV11,http://110.72.64.135:808/hls/100/index.m3u8
CCTV12,http://110.72.64.135:808/hls/101/index.m3u8
CCTV12,http://110.72.64.135:808/hls/101/index.m3u8
CCTV13,http://110.72.64.135:808/hls/106/index.m3u8
CCTV14,http://110.72.64.135:808/hls/105/index.m3u8
CCTV15,http://110.72.64.135:808/hls/102/index.m3u8
安多卫视,http://110.72.64.135:808/hls/4/index.m3u8
安徽卫视,http://110.72.64.135:808/hls/145/index.m3u8
北京卫视,http://110.72.64.135:808/hls/137/index.m3u8
东方卫视,http://110.72.64.135:808/hls/29/index.m3u8
凤凰卫视,http://110.72.64.135:808/hls/62/index.m3u8
福建卫视,http://110.72.64.135:808/hls/121/index.m3u8
甘肃卫视,http://110.72.64.135:808/hls/19/index.m3u8
广东卫视,http://110.72.64.135:808/hls/11/index.m3u8
广西卫视,http://110.72.64.135:808/hls/9/index.m3u8
贵州卫视,http://110.72.64.135:808/hls/52/index.m3u8
海峡卫视,http://110.72.64.135:808/hls/72/index.m3u8
河北卫视,http://110.72.64.135:808/hls/51/index.m3u8
河南卫视,http://110.72.64.135:808/hls/49/index.m3u8
黑龙江卫视,http://110.72.64.135:808/hls/43/index.m3u8
湖北卫视,http://110.72.64.135:808/hls/27/index.m3u8
湖南卫视,http://110.72.64.135:808/hls/25/index.m3u8
江苏卫视,http://110.72.64.135:808/hls/30/index.m3u8
江西卫视,http://110.72.64.135:808/hls/41/index.m3u8
辽宁卫视,http://110.72.64.135:808/hls/2/index.m3u8
旅游卫视,http://110.72.64.135:808/hls/1/index.m3u8
南方卫视,http://110.72.64.135:808/hls/81/index.m3u8
宁夏卫视,http://110.72.64.135:808/hls/50/index.m3u8
农林卫视,http://110.72.64.135:808/hls/18/index.m3u8
青海卫视,http://110.72.64.135:808/hls/3/index.m3u8
厦门卫视,http://110.72.64.135:808/hls/122/index.m3u8
山东卫视,http://110.72.64.135:808/hls/35/index.m3u8
山西卫视,http://110.72.64.135:808/hls/42/index.m3u8
陕西卫视,http://110.72.64.135:808/hls/17/index.m3u8
陕西卫视,http://110.72.64.135:808/hls/17/index.m3u8
深圳卫视,http://110.72.64.135:808/hls/1033/index.m3u8
深圳卫视,http://110.72.64.135:808/hls/1033/index.m3u8
四川卫视,http://110.72.64.135:808/hls/44/index.m3u8
天津卫视,http://110.72.64.135:808/hls/20/index.m3u8
香港卫视HD,http://110.72.64.135:808/hls/333/index.m3u8
星空卫视,http://110.72.64.135:808/hls/60/index.m3u8
云南卫视,http://110.72.64.135:808/hls/15/index.m3u8
浙江卫视,http://110.72.64.135:808/hls/34/index.m3u8
重庆卫视,http://110.72.64.135:808/hls/33/index.m3u8

四川电信,#genre#
CCTV1,http://220.166.245.152:66/udp/239.93.0.184:5140
CCTV2,http://220.166.245.152:66/udp/239.93.1.23:6000
CCTV3,http://220.166.245.152:66/udp/239.93.1.11:2223
CCTV4,http://220.166.245.152:66/udp/239.93.1.105:5140
CCTV5,http://220.166.245.152:66/udp/239.93.42.37:5140
CCTV5＋,http://220.166.245.152:66/udp/239.93.1.36:8004
CCTV6,http://220.166.245.152:66/udp/239.93.1.13:2226
CCTV7,http://220.166.245.152:66/udp/239.93.1.67:5140
CCTV8,http://220.166.245.152:66/udp/239.93.42.39:5140
CCTV9,http://220.166.245.152:66/udp/239.93.1.24:5140
CCTV10,http://220.166.245.152:66/udp/239.93.1.28:5140
CCTV11,http://220.166.245.152:66/udp/239.93.0.102:5140
CCTV12,http://220.166.245.152:66/udp/239.93.1.30:8124
CCTV13,http://220.166.245.152:66/udp/239.93.0.66:5140
CCTV14,http://220.166.245.152:66/udp/239.93.1.29:6000
CCTV15,http://220.166.245.152:66/udp/239.93.0.103:5140
CCTV17,http://220.166.245.152:66/udp/239.93.0.92:5140
CDTV1,http://220.166.245.152:66/udp/239.93.0.16:5140
CDTV2,http://220.166.245.152:66/udp/239.93.0.17:1239
CDTV3,http://220.166.245.152:66/udp/239.93.0.18:1238
CDTV4,http://220.166.245.152:66/udp/239.93.0.19:1250
CDTV5,http://220.166.245.152:66/udp/239.93.1.231:5140
CDTV6,http://220.166.245.152:66/udp/239.93.0.21:1251
CDTV8,http://220.166.245.152:66/udp/239.93.0.22:1252
SCTV2,http://220.166.245.152:66/udp/239.93.1.101:5140
SCTV3,http://220.166.245.152:66/udp/239.93.1.102:5140
SCTV4,http://220.166.245.152:66/udp/239.93.0.47:5140
SCTV5,http://220.166.245.152:66/udp/239.93.0.166:5140
SCTV6,http://220.166.245.152:66/udp/239.93.1.144:5140
SCTV7,http://220.166.245.152:66/udp/239.93.0.219:5140
SCTV科教,http://220.166.245.152:66/udp/239.93.42.44:5140
安徽卫视,http://220.166.245.152:66/udp/239.93.1.106:5140
北京卫视,http://220.166.245.152:66/udp/239.93.0.180:5140
兵团卫视,http://220.166.245.152:66/udp/239.93.42.43:5140
东方卫视,http://220.166.245.152:66/udp/239.93.0.123:5140
东南卫视,http://220.166.245.152:66/udp/239.93.0.42:5140
峨眉电影,http://220.166.245.152:66/udp/239.93.0.252:5140
甘肃卫视,http://220.166.245.152:66/udp/239.93.0.81:5140
广东卫视,http://220.166.245.152:66/udp/239.93.0.181:5140
广西卫视,http://220.166.245.152:66/udp/239.93.42.46:5140
贵州卫视,http://220.166.245.152:66/udp/239.93.0.131:5140
海南卫视,http://220.166.245.152:66/udp/239.93.0.80:5140
河北卫视,http://220.166.245.152:66/udp/239.93.0.132:5140
河南卫视,http://220.166.245.152:66/udp/239.93.42.45:5140
黑龙江卫视,http://220.166.245.152:66/udp/239.93.0.183:5140
湖北卫视,http://220.166.245.152:66/udp/239.93.0.250:5140
湖南卫视,http://220.166.245.152:66/udp/239.93.0.88:5140
吉林卫视,http://220.166.245.152:66/udp/239.93.0.248:5140
江苏卫视,http://220.166.245.152:66/udp/239.93.0.89:5140
江西卫视,http://220.166.245.152:66/udp/239.93.0.134:5140
康巴卫视,http://220.166.245.152:66/udp/239.93.0.41:5140
辽宁卫视,http://220.166.245.152:66/udp/239.93.1.108:5140
内蒙古卫视,http://220.166.245.152:66/udp/239.93.0.8:5140
宁夏卫视,http://220.166.245.152:66/udp/239.93.0.247:5140
青海卫视,http://220.166.245.152:66/udp/239.93.0.192:5140
三沙卫视,http://220.166.245.152:66/udp/239.93.42.58:5140
厦门卫视,http://220.166.245.152:66/udp/239.93.42.57:5140
山东教育卫视,http://220.166.245.152:66/udp/239.93.1.196:5140
山东卫视,http://220.166.245.152:66/udp/239.93.0.168:5140
山西卫视,http://220.166.245.152:66/udp/239.93.0.6:5140
陕西农林,http://220.166.245.152:66/udp/239.93.0.100:5140
陕西卫视,http://220.166.245.152:66/udp/239.93.0.176:5140
深圳卫视,http://220.166.245.152:66/udp/239.93.0.182:5140
四川康巴卫视,http://220.166.245.152:66/udp/239.93.0.41:5140
四川卫视,http://220.166.245.152:66/udp/239.93.0.169:5140
四川卫视,http://220.166.245.152:66/udp/239.93.1.188:5140
四川卫视,http://220.166.245.152:66/udp/239.93.0.20:1235
四川乡村,http://220.166.245.152:66/udp/239.93.0.52:5140
天津卫视,http://220.166.245.152:66/udp/239.93.0.167:5140
西藏卫视,http://220.166.245.152:66/udp/239.93.0.175:5140
新疆卫视,http://220.166.245.152:66/udp/239.93.0.194:5140
云南卫视,http://220.166.245.152:66/udp/239.93.1.174:5140
云南卫视,http://220.166.245.152:66/udp/239.93.0.174:5140
浙江卫视,http://220.166.245.152:66/udp/239.93.0.124:5140
重庆卫视,http://220.166.245.152:66/udp/239.93.1.107:5140

备用频道,#genre#
CCTV1,http://211.149.143.188:88/hls/1/index.m3u8
CCTV2,http://211.149.143.188:88/hls/2/index.m3u8
CCTV3,http://211.149.143.188:88/hls/3/index.m3u8
CCTV4,http://211.149.143.188:88/hls/105/index.m3u8
CCTV5,http://211.149.143.188:88/hls/5/index.m3u8
CCTV5+,http://211.149.143.188:88/hls/16/index.m3u8
CCTV6,http://211.149.143.188:88/hls/6/index.m3u8
CCTV7,http://211.149.143.188:88/hls/7/index.m3u8
CCTV8,http://211.149.143.188:88/hls/8/index.m3u8
CCTV9,http://211.149.143.188:88/hls/9/index.m3u8
CCTV10,http://211.149.143.188:88/hls/10/index.m3u8
CCTV11,http://211.149.143.188:88/hls/11/index.m3u8
CCTV12,http://211.149.143.188:88/hls/12/index.m3u8
CCTV13,http://211.149.143.188:88/hls/13/index.m3u8
CCTV14,http://211.149.143.188:88/hls/14/index.m3u8
CCTV15,http://211.149.143.188:88/hls/15/index.m3u8
CCTV17,http://211.149.143.188:88/hls/17/index.m3u8
安徽卫视,http://211.149.143.188:88/hls/51/index.m3u8
北京卫视,http://211.149.143.188:88/hls/47/index.m3u8
兵团卫视,http://211.149.143.188:88/hls/110/index.m3u8
东方卫视,http://211.149.143.188:88/hls/45/index.m3u8
东南卫视,http://211.149.143.188:88/hls/60/index.m3u8
甘肃卫视,http://211.149.143.188:88/hls/75/index.m3u8
广东南方卫视,http://211.149.143.188:88/hls/108/index.m3u8
广东卫视,http://211.149.143.188:88/hls/59/index.m3u8
广西卫视,http://211.149.143.188:88/hls/66/index.m3u8
贵州卫视,http://211.149.143.188:88/hls/55/index.m3u8
河北卫视,http://211.149.143.188:88/hls/109/index.m3u8
河南卫视,http://211.149.143.188:88/hls/63/index.m3u8
黑龙江卫视,http://211.149.143.188:88/hls/56/index.m3u8
湖北卫视,http://211.149.143.188:88/hls/52/index.m3u8
湖南卫视,http://211.149.143.188:88/hls/44/index.m3u8
吉林卫视,http://211.149.143.188:88/hls/53/index.m3u8
江苏卫视,http://211.149.143.188:88/hls/46/index.m3u8
江西卫视,http://211.149.143.188:88/hls/61/index.m3u8
辽宁卫视,http://211.149.143.188:88/hls/58/index.m3u8
旅游卫视,http://10.8.8.250:5000/?id=10182
内蒙古卫视,http://211.149.143.188:88/hls/69/index.m3u8
宁夏卫视,http://211.149.143.188:88/hls/72/index.m3u8
青海卫视,http://211.149.143.188:88/hls/70/index.m3u8
山东卫视,http://211.149.143.188:88/hls/57/index.m3u8
山西卫视,http://211.149.143.188:88/hls/68/index.m3u8
陕西卫视,http://211.149.143.188:88/hls/67/index.m3u8
深圳卫视,http://211.149.143.188:88/hls/49/index.m3u8
四川卫视,http://211.149.143.188:88/hls/64/index.m3u8
天津卫视,http://211.149.143.188:88/hls/50/index.m3u8
西藏卫视,http://211.149.143.188:88/hls/73/index.m3u8
新疆卫视,http://211.149.143.188:88/hls/74/index.m3u8
星空卫视,http://10.8.8.250:5000/?id=10291
云南卫视,http://211.149.143.188:88/hls/28/index.m3u8
浙江卫视,http://211.149.143.188:88/hls/43/index.m3u8
重庆卫视,http://211.149.143.188:88/hls/65/index.m3u8
